Current (A),Voltage (V)
1,433.7962713
5,402.6846003
10,389.0047309
20,374.8896061
30,366.2637936
50,354.7155804
70,346.4526789
90,339.766732
110,333.9945894
130,328.8071252
150,324.015642
170,319.5007728
190,315.1812088
210,310.9981305
230,306.9067097
250,302.8711137
270,298.8613772
290,294.8513216
310,290.8170832
330,286.7359969
350,282.5856796
370,278.3432063
390,273.984297
410,269.4824406
430,264.8078732
450,259.9263133
470,254.7973113
490,249.3720079
510,243.5899719
530,237.3745743
550,230.6259593
570,223.209894
590,214.9391658
610,205.5405736
630,194.59158
650,181.385402
670,164.5983049
690,141.260011
710,101.8950246
